OrderID,OrderDate,CustomerID,ProductID,Quantity,Discount
ORD00188,2023-07-09,C0434,P0002,1,0.10
ORD00189,2023-04-04,C1005,P0144,4,0.10
ORD00190,2023-10-24,C1099,P0082,6,0.00
ORD00191,2023-07-20,C0977,P0053,1,0.00
ORD00192,2024-01-06,C0027,P0029,2,0.10
ORD00193,2024-03-17,C0245,P0171,4,0.00
ORD00194,2024-01-14,C0458,P0165,3,0.05
ORD00195,2023-03-10,C0543,P0186,2,0.10
ORD00196,2023-07-12,C0003,P0110,2,0.00
ORD00197,2023-10-21,C0714,P0165,3,0.00
ORD00198,2024-10-17,C0637,P0050,4,0.10
ORD00199,2024-10-04,C0373,P0174,10,0.05
ORD00200,2024-05-20,C0786,P0045,2,0.15
ORD00201,2025-06-27,C0978,P0170,8,0.00
ORD00202,2024-12-14,C0050,P0005,1,0.00
ORD00203,2023-05-12,C0152,P0029,1,0.00
ORD00204,2025-11-09,C0880,P0124,4,0.15
ORD00205,2023-06-06,C0921,P0230,3,0.00
ORD00206,2023-05-27,C0556,P0155,3,0.10
ORD00207,2023-03-05,C1167,P0052,4,0.20
ORD00208,2024-10-16,C0562,P0043,6,0.05
ORD00209,2023-03-30,C0291,P0197,5,0.05
ORD00210,2023-11-16,C0120,P0154,6,0.10
ORD00211,2025-12-26,C0306,P0193,4,0.00
ORD00212,2023-11-17,C0613,P0117,2,0.10
ORD00213,2025-08-18,C0195,P0216,1,0.00
ORD00214,2024-05-13,C1164,P0021,6,0.05
ORD00215,2024-01-02,C0742,P0015,12,0.00
ORD00216,2025-02-08,C1064,P0166,2,0.05
ORD00217,2024-05-17,C0642,P0107,1,0.00
ORD00218,2025-10-17,C0783,P0027,8,0.00
ORD00219,2023-09-03,C0242,P0174,6,0.00
ORD00220,2024-10-24,C1118,P0012,6,0.05
ORD00221,2023-12-12,C1124,P0122,3,0.00
ORD00222,2024-02-17,C0575,P0060,5,0.00
ORD00223,2024-02-21,C0086,P0123,5,0.15
ORD00224,2023-02-13,C0704,P0232,2,0.00
ORD00225,2024-03-03,C0237,P0194,1,0.00
ORD00226,2025-07-08,C0096,P0094,4,0.05
ORD00227,2023-04-11,C0237,P0069,1,0.00
ORD00228,2023-01-26,C0839,P0009,4,0.00
ORD00229,2023-10-04,C0590,P0123,3,0.00
ORD00230,2025-05-16,C1096,P0172,2,0.10
ORD00231,2025-05-30,C0941,P0069,2,0.00
ORD00232,2023-06-08,C0882,P0045,4,0.00
ORD00233,2025-04-14,C1019,P0151,2,0.10
ORD00234,2023-01-03,C1055,P0169,6,0.00
ORD00235,2024-02-20,C0782,P0018,5,0.00
ORD00236,2025-09-08,C0760,P0093,2,0.10
ORD00237,2025-12-18,C0095,P0016,2,0.05
ORD00238,2025-10-07,C0724,P0009,3,0.05
ORD00239,2023-08-19,C0386,P0104,5,0.00
ORD00240,2023-05-23,C1032,P0133,4,0.00
ORD00241,2023-03-29,C1006,P0050,4,0.00
ORD00242,2024-03-25,C1128,P0169,3,0.00
ORD00243,2024-10-08,C0725,P0075,3,0.05
ORD00244,2025-01-07,C1015,P0142,4,0.00
ORD00245,2025-11-24,C1179,P0056,2,0.00
ORD00246,2024-05-09,C1154,P0221,4,0.05
ORD00247,2025-12-03,C0528,P0044,8,0.10
ORD00248,2023-12-26,C0923,P0217,4,0.05
ORD00249,2024-11-25,C0939,P0227,6,0.10
ORD00250,2025-02-20,C0362,P0073,1,0.00
ORD00251,2025-01-12,C0180,P0142,1,0.00
ORD00252,2023-12-20,C0691,P0201,3,0.10
ORD00253,2024-05-14,C1157,P0165,2,0.10
ORD00254,2023-11-23,C0435,P0168,6,0.00
ORD00255,2025-02-23,C0585,P0147,8,0.05
ORD00256,2024-04-10,C0324,P0042,1,0.05
ORD00257,2024-12-22,C0024,P0140,2,0.00
ORD00258,2025-05-22,C1157,P0220,2,0.15
ORD00259,2025-02-11,C0203,P0161,2,0.00
ORD00260,2023-01-23,C1119,P0121,3,0.10
ORD00261,2024-12-28,C0761,P0127,5,0.00
ORD00262,2023-08-28,C0878,P0172,3,0.00
ORD00263,2023-09-12,C1041,P0009,5,0.00
ORD00264,2024-08-08,C0847,P0182,1,0.15
ORD00265,2025-10-23,C0912,P0117,5,0.10
ORD00266,2025-06-04,C0582,P0100,1,0.15
ORD00267,2024-05-29,C0338,P0207,5,0.10
ORD00268,2023-03-27,C1172,P0043,12,0.00
ORD00269,2023-01-01,C0401,P0099,4,0.15
ORD00270,2023-06-14,C0728,P0095,4,0.10
ORD00271,2024-10-22,C1007,P0098,2,0.00
ORD00272,2025-02-13,C0706,P0157,3,0.00
ORD00273,2023-10-01,C0254,P0207,3,0.05
ORD00274,2023-03-23,C0631,P0019,2,0.05
ORD00275,2024-09-14,C1198,P0231,1,0.00
ORD00276,2024-04-24,C0276,P0014,1,0.00
ORD00277,2025-11-16,C1098,P0226,6,0.00
ORD00278,2023-04-24,C0159,P0078,10,0.10
ORD00279,2024-01-12,C0306,P0026,3,0.00
ORD00280,2025-11-06,C0943,P0237,12,0.00
ORD00281,2025-12-06,C0085,P0096,6,0.00
ORD00282,2024-03-03,C0973,P0092,3,0.00
ORD00283,2023-08-16,C0886,P0021,4,0.20
ORD00284,2024-12-22,C0715,P0173,5,0.00
ORD00285,2025-02-08,C1039,P0203,4,0.05
ORD00286,2024-11-27,C0586,P0052,3,0.10
ORD00287,2023-04-26,C0285,P0230,3,0.00
ORD00288,2025-09-24,C0382,P0038,3,0.05
ORD00289,2025-07-20,C0690,P0166,1,0.05
ORD00290,2025-10-03,C0898,P0074,2,0.10
ORD00291,2023-02-01,C0085,P0180,4,0.05
ORD00292,2023-10-09,C0467,P0107,2,0.15
ORD00293,2025-10-03,C0434,P0166,5,0.05
ORD00294,2023-12-27,C0700,P0076,4,0.05
ORD00295,2023-05-11,C1000,P0076,1,0.10
ORD00296,2023-05-23,C1079,P0085,3,0.05
ORD00297,2024-01-27,C0061,P0032,8,0.05
ORD00298,2024-12-14,C0986,P0208,8,0.10
ORD00299,2023-06-23,C0747,P0086,3,0.00
ORD00300,2023-11-11,C0386,P0017,1,0.10
ORD00301,2024-05-24,C0015,P0051,5,0.00
ORD00302,2023-07-21,C0642,P0214,3,0.00
ORD00303,2023-01-28,C0071,P0143,1,0.10
ORD00304,2025-04-15,C0976,P0099,2,0.00
ORD00305,2024-06-09,C0762,P0200,8,0.05
ORD00306,2025-04-10,C1144,P0151,1,0.15
ORD00307,2024-07-11,C1137,P0148,1,0.00
ORD00308,2025-11-17,C0416,P0071,4,0.10
ORD00309,2025-06-25,C0311,P0204,6,0.00
ORD00310,2024-04-05,C0284,P0058,1,0.10
ORD00311,2023-11-28,C1151,P0006,3,0.10
ORD00312,2025-12-30,C0973,P0212,1,0.10
ORD00313,2025-07-09,C0807,P0093,2,0.15
ORD00314,2024-01-29,C0803,P0192,3,0.05
ORD00315,2024-02-16,C0321,P0014,1,0.00
ORD00316,2023-06-10,C0472,P0180,2,0.00
ORD00317,2025-05-13,C0714,P0045,3,0.00
ORD00318,2024-05-18,C0054,P0175,4,0.05
ORD00319,2025-04-18,C0103,P0104,5,0.00
ORD00320,2024-07-30,C0025,P0037,2,0.00
ORD00321,2024-02-18,C1173,P0239,6,0.20
ORD00322,2023-08-26,C0041,P0065,1,0.00
ORD00323,2025-09-07,C1180,P0101,4,0.10
ORD00324,2023-07-22,C0499,P0119,6,0.00
ORD00325,2023-08-17,C0790,P0111,5,0.05
ORD00326,2025-02-04,C1041,P0008,2,0.15
ORD00327,2025-12-28,C0615,P0107,4,0.05
ORD00328,2024-02-04,C0035,P0032,2,0.00
ORD00329,2024-02-27,C0781,P0151,2,0.00
ORD00330,2024-06-14,C0825,P0104,2,0.05
ORD00331,2025-08-22,C1018,P0232,3,0.00
ORD00332,2025-04-01,C0533,P0088,12,0.00
ORD00333,2025-10-06,C0885,P0107,1,0.05
ORD00334,2023-07-27,C0360,P0117,3,0.00
ORD00335,2024-06-19,C0721,P0087,1,0.05
ORD00336,2025-05-31,C0964,P0130,1,0.00
ORD00337,2023-03-29,C0486,P0105,2,0.00
ORD00338,2024-10-18,C1138,P0058,4,0.00
ORD00339,2024-04-14,C1080,P0166,6,0.00
ORD00340,2025-04-19,C0794,P0175,2,0.00
ORD00341,2025-02-09,C0493,P0090,4,0.00
ORD00342,2025-07-05,C0343,P0130,4,0.00
ORD00343,2023-01-17,C0877,P0173,1,0.00
ORD00344,2025-09-26,C0305,P0007,3,0.10
ORD00345,2023-04-18,C0689,P0118,2,0.10
ORD00346,2023-11-19,C0690,P0083,1,0.05
ORD00347,2023-12-04,C1104,P0139,6,0.00
ORD00348,2023-01-15,C0653,P0229,2,0.00
ORD00349,2023-05-05,C0182,P0054,10,0.05
ORD00350,2023-07-18,C0933,P0188,5,0.00
ORD00351,2023-03-09,C0200,P0005,2,0.05
ORD00352,2024-07-02,C0548,P0113,2,0.05
ORD00353,2023-08-22,C0531,P0065,6,0.05
ORD00354,2024-09-11,C0497,P0111,10,0.00
ORD00355,2025-10-01,C0788,P0211,1,0.00
ORD00356,2023-10-26,C0283,P0138,12,0.00
ORD00357,2024-01-17,C0717,P0144,3,0.05
ORD00358,2025-10-08,C0679,P0142,6,0.15
ORD00359,2025-08-10,C0051,P0133,2,0.05
ORD00360,2024-11-04,C0695,P0214,5,0.00
ORD00361,2025-02-13,C0684,P0086,3,0.00
ORD00362,2024-09-03,C0914,P0080,5,0.00
ORD00363,2023-07-16,C0680,P0012,2,0.00
ORD00364,2025-05-05,C0077,P0186,5,0.00
ORD00365,2024-02-02,C0841,P0065,3,0.00
ORD00366,2024-09-23,C0619,P0208,2,0.10
ORD00367,2025-03-24,C0413,P0082,12,0.00
ORD00368,2024-10-26,C0590,P0221,2,0.05
ORD00369,2023-09-07,C0796,P0158,1,0.10
ORD00370,2024-12-06,C0003,P0149,3,0.05
ORD00371,2023-10-23,C1032,P0147,1,0.00
ORD00372,2025-10-22,C0557,P0064,10,0.00
ORD00373,2025-09-26,C1153,P0166,3,0.10
ORD00374,2023-04-19,C0677,P0044,6,0.00
ORD00375,2023-05-15,C0525,P0031,3,0.05
ORD00376,2024-08-02,C0500,P0025,1,0.00
ORD00377,2024-06-16,C0059,P0235,4,0.00
ORD00378,2023-02-01,C1098,P0160,5,0.10
ORD00379,2024-01-27,C0724,P0064,2,0.00
ORD00380,2024-05-15,C0149,P0089,2,0.00
ORD00381,2024-10-23,C0587,P0086,2,0.00
ORD00382,2024-06-21,C0532,P0142,3,0.00
ORD00383,2025-02-27,C0815,P0068,2,0.10
ORD00384,2025-06-02,C0839,P0158,4,0.00
ORD00385,2023-11-02,C0712,P0062,3,0.00
ORD00386,2025-02-19,C0708,P0129,1,0.00
ORD00387,2023-10-15,C1023,P0002,4,0.00
ORD00388,2024-09-17,C1120,P0090,1,0.05
ORD00389,2025-11-16,C0423,P0060,2,0.05
ORD00390,2023-04-24,C0726,P0055,4,0.00
ORD00391,2024-10-08,C0850,P0082,2,0.05
ORD00392,2024-07-07,C0583,P0043,3,0.05
ORD00393,2024-10-14,C0092,P0142,8,0.10
ORD00394,2023-12-23,C0539,P0103,1,0.05
ORD00395,2025-06-19,C0174,P0214,1,0.00
ORD00396,2024-03-07,C1150,P0194,1,0.00
ORD00397,2023-01-09,C0295,P0193,2,0.05
ORD00398,2024-07-15,C0471,P0199,1,0.00
ORD00399,2024-07-09,C0240,P0197,6,0.05
ORD00400,2025-01-11,C0577,P0220,4,0.00
ORD00401,2025-04-09,C0368,P0040,4,0.00
ORD00402,2025-08-27,C0606,P0090,8,0.15
ORD00403,2024-03-22,C0690,P0116,4,0.00
ORD00404,2025-01-01,C0427,P0227,10,0.05
ORD00405,2024-08-16,C0124,P0132,1,0.00
ORD00406,2023-01-31,C1061,P0053,1,0.00
ORD00407,2024-03-15,C0124,P0228,2,0.10
ORD00408,2023-12-09,C0573,P0057,1,0.15
ORD00409,2024-11-14,C0464,P0013,4,0.00
ORD00410,2023-01-13,C0285,P0041,3,0.10
ORD00411,2025-09-20,C0207,P0001,4,0.00
ORD00412,2024-06-23,C0356,P0150,4,0.00
ORD00413,2024-09-05,C0955,P0136,2,0.00
ORD00414,2023-03-02,C0199,P0045,5,0.00
ORD00415,2024-01-04,C0843,P0178,1,0.05
ORD00416,2023-07-22,C0913,P0105,2,0.10
ORD00417,2023-05-17,C0125,P0189,3,0.10
ORD00418,2024-09-08,C0417,P0138,1,0.00
ORD00419,2023-08-15,C0948,P0224,2,0.10
ORD00420,2025-10-10,C0654,P0070,1,0.00
ORD00421,2023-08-27,C1010,P0142,2,0.00
ORD00422,2025-01-29,C1000,P0190,4,0.00
ORD00423,2023-02-26,C0504,P0029,4,0.00
ORD00424,2025-09-24,C0043,P0057,1,0.00
ORD00425,2024-06-29,C0681,P0177,8,0.05
ORD00426,2023-09-25,C1189,P0217,1,0.00
ORD00427,2025-08-27,C1016,P0059,12,0.00
ORD00428,2023-05-28,C0511,P0185,5,0.00
ORD00429,2023-03-25,C0497,P0141,10,0.00
ORD00430,2024-06-16,C0501,P0165,8,0.00
ORD00431,2025-06-16,C0934,P0161,3,0.00
ORD00432,2024-07-02,C0407,P0165,2,0.10
ORD00433,2025-07-22,C0410,P0203,4,0.20
ORD00434,2024-10-19,C0375,P0038,2,0.10
ORD00435,2023-01-29,C0577,P0057,2,0.10
ORD00436,2025-03-28,C0750,P0219,1,0.05
ORD00437,2023-10-21,C0374,P0146,1,0.00
ORD00438,2025-01-14,C0603,P0147,4,0.00
ORD00439,2025-10-21,C0589,P0070,5,0.00
ORD00440,2023-12-13,C0699,P0016,5,0.00
ORD00441,2023-05-13,C0219,P0026,4,0.00
ORD00442,2024-04-11,C0495,P0238,8,0.00
ORD00443,2023-03-05,C0973,P0041,2,0.10
ORD00444,2024-03-18,C0600,P0056,1,0.05
ORD00445,2023-07-14,C0673,P0087,8,0.10
ORD00446,2025-12-03,C0881,P0185,2,0.10
ORD00447,2025-01-16,C0294,P0038,2,0.00
ORD00448,2024-08-21,C0799,P0178,6,0.20
ORD00449,2024-02-20,C1013,P0023,8,0.05
ORD00450,2025-11-15,C0138,P0132,1,0.00
ORD00451,2024-06-07,C0650,P0126,4,0.00
ORD00452,2024-04-06,C0806,P0184,8,0.00
ORD00453,2024-08-01,C0379,P0081,6,0.05
ORD00454,2023-07-21,C1152,P0074,3,0.10
ORD00455,2025-07-11,C0789,P0152,10,0.00
ORD00456,2024-05-26,C0956,P0221,3,0.05
ORD00457,2024-05-19,C0974,P0149,2,0.10
ORD00458,2025-07-18,C1199,P0208,3,0.00
ORD00459,2023-10-29,C1026,P0182,1,0.05
ORD00460,2023-12-21,C0516,P0031,5,0.05
ORD00461,2023-12-06,C0709,P0158,3,0.20
ORD00462,2025-01-26,C0863,P0169,3,0.00
ORD00463,2024-07-11,C0100,P0207,10,0.00
ORD00464,2024-08-26,C0677,P0146,1,0.05
ORD00465,2024-12-15,C0306,P0121,3,0.00
ORD00466,2023-09-04,C0430,P0048,4,0.00
ORD00467,2024-01-18,C0338,P0150,3,0.10
ORD00468,2024-07-22,C0637,P0152,6,0.05
ORD00469,2025-04-03,C0902,P0028,2,0.00
ORD00470,2025-02-02,C0755,P0038,5,0.00
ORD00471,2025-03-25,C0824,P0114,6,0.10
ORD00472,2025-10-09,C0199,P0119,5,0.05
ORD00473,2024-06-26,C0148,P0032,2,0.20
ORD00474,2024-11-01,C0485,P0191,1,0.00
ORD00475,2025-11-19,C0723,P0182,6,0.05
ORD00476,2024-01-08,C0627,P0094,1,0.00
ORD00477,2025-05-11,C0800,P0117,2,0.10
ORD00478,2023-01-26,C0246,P0177,3,0.15
ORD00479,2024-08-05,C0694,P0227,3,0.10
ORD00480,2025-08-07,C0638,P0234,2,0.00
ORD00481,2025-02-20,C0718,P0060,2,0.00
ORD00482,2024-08-13,C0450,P0224,10,0.00
ORD00483,2024-10-30,C0136,P0199,1,0.00
ORD00484,2024-10-05,C0414,P0120,2,0.05
ORD00485,2024-03-05,C0896,P0211,10,0.00
ORD00486,2023-08-07,C0278,P0125,2,0.05
ORD00487,2025-07-18,C0538,P0182,1,0.10
ORD00488,2023-09-25,C0091,P0131,5,0.10
ORD00489,2023-12-25,C0024,P0083,1,0.00
ORD00490,2025-09-01,C0201,P0050,3,0.10
ORD00491,2023-02-16,C1014,P0092,1,0.05
ORD00492,2023-08-07,C0932,P0012,2,0.05
ORD00493,2024-06-28,C0669,P0050,4,0.00
ORD00494,2025-12-24,C0922,P0075,5,0.00
ORD00495,2024-10-17,C0995,P0230,12,0.05
ORD00496,2024-09-04,C0944,P0086,6,0.00
ORD00497,2024-01-23,C0992,P0119,6,0.00
ORD00498,2023-06-03,C0474,P0018,2,0.05
ORD00499,2024-05-26,C0283,P0071,3,0.00
ORD00500,2025-11-18,C0209,P0118,4,0.00
ORD00501,2024-05-09,C0421,P0103,10,0.00
ORD00502,2025-11-24,C1166,P0091,1,0.05
ORD00503,2025-01-02,C0361,P0031,6,0.10
ORD00504,2025-09-19,C0069,P0026,4,0.05
ORD00505,2025-09-21,C0732,P0231,1,0.10
ORD00506,2024-11-25,C0259,P0133,4,0.00
ORD00507,2024-03-31,C0577,P0142,5,0.15
ORD00508,2025-07-03,C0906,P0069,1,0.15
ORD00509,2023-12-18,C0295,P0050,5,0.10
ORD00510,2023-02-01,C0852,P0207,6,0.10
ORD00511,2023-10-22,C0597,P0107,3,0.05
ORD00512,2025-06-20,C0385,P0223,1,0.00
ORD00513,2023-12-04,C0039,P0119,1,0.00
ORD00514,2025-07-30,C0889,P0128,3,0.15
ORD00515,2025-07-06,C0158,P0145,2,0.05
ORD00516,2023-12-09,C0611,P0001,3,0.15
